Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,cluster
1999-01-22,0.03761516900000039,0.041016000999999136,0.04882799800000015,0.03880200200000061,0.04374999899999921,2714688000.0,,0
1999-01-25,0.04155587800000049,0.04531300100000024,0.04583299899999993,0.041016000999999136,0.04427100000000017,510480000.0,10.476399198449382,0
1999-01-26,0.038331419000000366,0.04179700100000083,0.04674499899999951,0.04114599899999938,0.04583299899999993,343200000.0,-7.75936248406941,0
1999-01-27,0.03821218000000037,0.04166699900000026,0.04296899999999937,0.03958300100000045,0.0419269989999993,244368000.0,-0.311031884799573,0
1999-01-28,0.03809205099999957,0.041536000000000683,0.0419269989999993,0.04127599999999987,0.04166699900000026,227520000.0,-0.31439509238475605,0
1999-01-29,0.036300983000000286,0.03958300100000045,0.04166699900000026,0.03958300100000045,0.041536000000000683,244032000.0,-4.70194289291217,0
1999-02-01,0.037018139000000616,0.04036499899999946,0.04062499900000027,0.03958300100000045,0.03958300100000045,154704000.0,1.9755904813786085,0
1999-02-02,0.03415226199999921,0.03723999900000052,0.04062499900000027,0.03606800000000021,0.03958300100000045,264096000.0,-7.741855759738769,0
1999-02-03,0.03486850100000005,0.03802099800000036,0.03854199899999955,0.03645800099999974,0.03671900199999989,75120000.00000006,2.097204675005493,0
1999-02-04,0.0367787849999992,0.04010400199999964,0.04114599899999938,0.03802099800000036,0.03854199899999955,181920000.0,5.47856213558624,0
1999-02-05,0.03785361699999967,0.04127599999999987,0.04166699900000026,0.03971400100000011,0.04075500000000076,136848000.0,2.9223966226612497,0
1999-02-08,0.03654033299999959,0.03984399900000035,0.04166699900000026,0.03984399900000035,0.041536000000000683,154080000.0,-3.4693308460122196,0
1999-02-09,0.0351069380000002,0.03828100099999965,0.04088500099999948,0.03776000100000054,0.04062499900000027,86976000.0,-3.9227939946489765,0
1999-02-10,0.03474927699999952,0.0378910010000002,0.03932299799999939,0.03723999900000052,0.03828100099999965,148223999.99999994,-1.0187821368620953,0
1999-02-11,0.03773438200000001,0.04114599899999938,0.04270799799999914,0.03802099800000036,0.03802099800000036,132240000.0,8.59042494021207,0
1999-02-12,0.03988403099999971,0.04349000000000025,0.04374999899999921,0.04166699900000026,0.04166699900000026,109728000.0,5.696789619812126,0
1999-02-16,0.04012247200000019,0.04374999899999921,0.04609400000000008,0.03932299799999939,0.04427100000000017,211008000.0,0.5978362842032681,0
1999-02-17,0.0379728410000002,0.04140599800000011,0.0432289990000001,0.04062499900000027,0.04270799799999914,67728000.0,-5.357716693890668,0
1999-02-18,0.0385698449999996,0.04205699999999979,0.0432289990000001,0.04088500099999948,0.04270799799999914,70704000.0,1.5722408139999366,0
1999-02-19,0.03988403099999971,0.04349000000000025,0.04427100000000017,0.04114599899999938,0.04166699900000026,75360000.00000006,3.407280595382467,0
1999-02-22,0.04012247200000019,0.04374999899999921,0.04479199999999928,0.04140599800000011,0.04427100000000017,205248000.0,0.5978362842032681,0
1999-02-23,0.04203276700000025,0.04583299899999993,0.04674499899999951,0.04218799999999945,0.04479199999999928,138096000.0,4.76114296596899,0
1999-02-24,0.045376468000000614,0.04947899999999983,0.05468799900000043,0.0483070019999996,0.05260400100000062,612768000.0,7.954969300612436,0
1999-02-25,0.04394397099999914,0.04791700100000007,0.05312500099999973,0.04713499900000073,0.05156299799999964,149136000.00000006,-3.1568928232179383,0
1999-02-26,0.041913561999999516,0.04570300099999969,0.05000000100000079,0.04531300100000024,0.048438000999999176,172608000.0,-4.62048950016718,0
1999-03-01,0.042152903999999936,0.04596399899999959,0.04791700100000007,0.04374999899999921,0.046875,92160000.0,0.5710740964252947,0
1999-03-02,0.04179431899999919,0.0455729999999992,0.04609400000000008,0.04479199999999928,0.04583299899999993,55248000.0,-0.85066358129543,0
1999-03-03,0.03892844900000014,0.04244799900000018,0.04583299899999993,0.04218799999999945,0.04583299899999993,61392000.0,-6.857132512671981,0
1999-03-04,0.03809205099999957,0.041536000000000683,0.04479199999999928,0.04114599899999938,0.04453099899999913,57360000.0,-2.14850881427886,0
1999-03-05,0.04024171100000018,0.04388000099999978,0.04400999799999994,0.0419269989999993,0.0419269989999993,78767999.99999994,5.643299788135603,0
1999-03-08,0.04083871799999983,0.04453099899999913,0.04583299899999993,0.0419269989999993,0.04270799799999914,75887999.99999994,1.4835870217960956,0
1999-03-09,0.042152903999999936,0.04596399899999959,0.04661500099999927,0.04440100100000066,0.04440100100000066,143184000.0,3.2179830504139195,0
1999-03-10,0.0414357410000008,0.04518200100000058,0.04661500099999927,0.04453099899999913,0.04661500099999927,235344000.0,-1.7013271625908821,0
1999-03-11,0.039644685000000734,0.0432289990000001,0.04518200100000058,0.0432289990000001,0.04440100100000066,54288000.0,-4.322522147702134,0
1999-03-12,0.03892844900000014,0.04244799900000018,0.04349000000000025,0.04166699900000026,0.04349000000000025,90768000.0,-1.8066576096291254,0
1999-03-15,0.04060027699999935,0.04427100000000017,0.04479199999999928,0.0432289990000001,0.04349000000000025,108816000.0,4.294668872377239,0
1999-03-16,0.03928700099999993,0.04283899800000057,0.04505199900000001,0.04244799900000018,0.04453099899999913,79152000.0,-3.2346276343430125,0
1999-03-17,0.039525456999999875,0.04309900099999986,0.04400999799999994,0.04205699999999979,0.0432289990000001,51360000.0,0.606930628956337,0
1999-03-18,0.04000325500000024,0.043620002000000824,0.04427100000000017,0.04218799999999945,0.0432289990000001,46320000.0,1.2088470449697963,0
1999-03-19,0.04012247200000019,0.04374999899999921,0.04505199900000001,0.04349000000000025,0.04349000000000025,105312000.0,0.29802153608338156,0
1999-03-22,0.03892844900000014,0.04244799900000018,0.04479199999999928,0.04244799900000018,0.04466099999999962,36672000.0,-2.976000068022855,0
1999-03-23,0.03654033299999959,0.03984399900000035,0.04270799799999914,0.03906299900000043,0.04270799799999914,163967999.99999994,-6.134564788318997,0
1999-03-24,0.036300983000000286,0.03958300100000045,0.03984399900000035,0.03802099800000036,0.03958300100000045,60864000.0,-0.6550497102462027,0
1999-03-25,0.0367787849999992,0.04010400199999964,0.04166699900000026,0.03932299799999939,0.03945299999999996,40320000.0,1.3162241033720434,0
1999-03-26,0.04000325500000024,0.043620002000000824,0.04374999899999921,0.04062499900000027,0.04062499900000027,88272000.00000006,8.767204829084129,0
1999-03-29,0.041197304000000656,0.04492200199999985,0.04596399899999959,0.0441409979999996,0.04492200199999985,65952000.0,2.9848691891394274,0
1999-03-30,0.03773438200000001,0.04114599899999938,0.0454429980000004,0.04088500099999948,0.04505199900000001,69504000.0,-8.405687262112671,0
1999-03-31,0.040360913000000664,0.04400999799999994,0.04453099899999913,0.04049500100000003,0.04244799900000018,153600000.0,6.960577138982571,0
1999-04-01,0.03916688300000004,0.04270799799999914,0.04427100000000017,0.0419269989999993,0.04400999799999994,30432000.0,-2.9584186756836606,0
1999-04-05,0.0379728410000002,0.04140599800000011,0.0432289990000001,0.04114599899999938,0.04218799999999945,98640000.00000006,-3.048609302641625,0
1999-04-06,0.037018139000000616,0.04036499899999946,0.0419269989999993,0.03958300100000045,0.04179700100000083,69696000.0,-2.514126093519109,0
1999-04-07,0.04012247200000019,0.04374999899999921,0.04400999799999994,0.04036499899999946,0.04062499900000027,89280000.0,8.385978158949037,0
1999-04-08,0.04083871799999983,0.04453099899999913,0.04583299899999993,0.04349000000000025,0.04400999799999994,130127999.99999994,1.7851428979461348,0
1999-04-09,0.04012247200000019,0.04374999899999921,0.04479199999999928,0.04349000000000025,0.04479199999999928,48624000.0,-1.7538344468759903,0
1999-04-12,0.038450631999999985,0.0419269989999993,0.0432289990000001,0.04114599899999938,0.0432289990000001,33312000.0,-4.1668572380995865,0
1999-04-13,0.036898005999999484,0.0402339989999998,0.04270799799999914,0.03958300100000045,0.04270799799999914,36144000.0,-4.037970855009199,0
